Engine Fuel Type,Engine Cylinders,Transmission Type,Number of Doors,Vehicle Size,MSRP
regular unleaded,4.0,AUTOMATIC,4.0,Compact,24895
regular unleaded,4.0,MANUAL,4.0,Compact,25545
regular unleaded,4.0,AUTOMATIC,4.0,Compact,24295
regular unleaded,4.0,MANUAL,4.0,Compact,20095
regular unleaded,4.0,AUTOMATIC,4.0,Compact,19995
regular unleaded,4.0,AUTOMATIC,4.0,Compact,21145
regular unleaded,4.0,MANUAL,4.0,Compact,23245
regular unleaded,4.0,MANUAL,4.0,Compact,24345
regular unleaded,4.0,MANUAL,4.0,Compact,18945
regular unleaded,4.0,AUTOMATIC,4.0,Compact,26595
regular unleaded,4.0,AUTOMATIC,4.0,Compact,25495
regular unleaded,4.0,MANUAL,4.0,Compact,20745
regular unleaded,4.0,AUTOMATIC,4.0,Compact,24295
regular unleaded,4.0,AUTOMATIC,4.0,Compact,21795
regular unleaded,4.0,AUTOMATIC,4.0,Compact,26495
regular unleaded,4.0,MANUAL,4.0,Compact,24745
regular unleaded,4.0,AUTOMATIC,4.0,Compact,19595
regular unleaded,4.0,MANUAL,4.0,Compact,23245
regular unleaded,4.0,MANUAL,4.0,Compact,18545
regular unleaded,4.0,AUTOMATIC,4.0,Compact,25795
regular unleaded,4.0,MANUAL,4.0,Compact,25445
regular unleaded,4.0,AUTOMATIC,4.0,Compact,24795
regular unleaded,4.0,MANUAL,4.0,Midsize,23145
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,24195
regular unleaded,4.0,AUTOMATIC,4.0,Compact,20145
regular unleaded,4.0,AUTOMATIC,4.0,Compact,24945
regular unleaded,4.0,MANUAL,4.0,Compact,23895
regular unleaded,4.0,MANUAL,4.0,Compact,19095
regular unleaded,4.0,AUTOMATIC,4.0,Compact,23445
regular unleaded,4.0,AUTOMATIC,4.0,Compact,22245
regular unleaded,4.0,MANUAL,4.0,Compact,22395
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,42300
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,40300
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,40300
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,42300
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,45800
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,47800
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,43650
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,49950
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,47950
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,41650
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,56900
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,46250
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,50750
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,42750
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,48750
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,48250
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,42750
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,50750
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,40750
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,54900
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,48750
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,40750
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,52000
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,50000
premium unleaded (required),4.0,MANUAL,2.0,Midsize,41850
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,50150
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,41850
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,58950
premium unleaded (required),4.0,AUTOMATIC,2.0,Midsize,43850
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,48150
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,56950
regular unleaded,4.0,AUTOMATIC,4.0,Compact,24635
regular unleaded,4.0,AUTOMATIC,4.0,Compact,25135
regular unleaded,4.0,AUTOMATIC,4.0,Compact,29235
regular unleaded,4.0,AUTOMATIC,4.0,Compact,23335
regular unleaded,4.0,AUTOMATIC,4.0,Compact,22735
regular unleaded,4.0,AUTOMATIC,4.0,Compact,27035
regular unleaded,4.0,AUTOMATIC,4.0,Compact,27335
regular unleaded,4.0,AUTOMATIC,4.0,Compact,25235
regular unleaded,4.0,AUTOMATIC,4.0,Compact,27035
regular unleaded,4.0,AUTOMATIC,4.0,Compact,25135
regular unleaded,4.0,AUTOMATIC,4.0,Compact,25235
regular unleaded,4.0,AUTOMATIC,4.0,Compact,23890
regular unleaded,4.0,AUTOMATIC,4.0,Compact,23335
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,86600
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,79100
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,76100
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,83600
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,87800
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,77300
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,80300
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,84800
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,77600
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,80600
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,85100
premium unleaded (required),6.0,AUTOMATIC,2.0,Midsize,88100
premium unleaded (required),4.0,MANUAL,2.0,Compact,53900
premium unleaded (required),4.0,MANUAL,2.0,Compact,66300
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,2.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,2.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Compact,2000
premium unleaded (required),4.0,MANUAL,4.0,Compact,26950
regular unleaded,4.0,MANUAL,4.0,Compact,22990
premium unleaded (required),4.0,MANUAL,4.0,Compact,26950
regular unleaded,4.0,MANUAL,4.0,Compact,22990
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,37250
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,35875
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,33380
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,40245
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,48010
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,39190
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,40400
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,42615
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2122
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2145
regular unleaded,4.0,MANUAL,4.0,Midsize,2084
regular unleaded,4.0,MANUAL,4.0,Midsize,2063
regular unleaded,4.0,MANUAL,4.0,Midsize,2172
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,4.0,Compact,2000
regular unleaded,4.0,MANUAL,4.0,Compact,2000
regular unleaded,6.0,AUTOMATIC,4.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,6.0,AUTOMATIC,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,6.0,AUTOMATIC,4.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2078
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,4.0,Compact,2000
regular unleaded,4.0,MANUAL,4.0,Compact,2000
regular unleaded,6.0,AUTOMATIC,2.0,Compact,2117
regular unleaded,4.0,MANUAL,4.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2115
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,4.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2268
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,6.0,MANUAL,4.0,Compact,2000
regular unleaded,6.0,MANUAL,4.0,Compact,2000
regular unleaded,6.0,MANUAL,4.0,Compact,2000
regular unleaded,6.0,MANUAL,4.0,Compact,2000
regular unleaded,6.0,MANUAL,4.0,Compact,2000
regular unleaded,6.0,MANUAL,4.0,Compact,2000
regular unleaded,6.0,MANUAL,4.0,Compact,2000
regular unleaded,6.0,MANUAL,4.0,Compact,2000
regular unleaded,6.0,MANUAL,4.0,Compact,2000
premium unleaded (required),6.0,MANUAL,2.0,Compact,96200
premium unleaded (required),6.0,MANUAL,2.0,Compact,132800
premium unleaded (required),6.0,MANUAL,2.0,Compact,120900
premium unleaded (required),6.0,MANUAL,2.0,Compact,105630
premium unleaded (required),6.0,MANUAL,2.0,Compact,98900
premium unleaded (required),6.0,MANUAL,2.0,Compact,102930
premium unleaded (required),6.0,MANUAL,2.0,Compact,91030
premium unleaded (required),6.0,MANUAL,2.0,Compact,84300
premium unleaded (required),6.0,MANUAL,2.0,Compact,114200
premium unleaded (required),6.0,MANUAL,2.0,Compact,110800
premium unleaded (required),6.0,MANUAL,2.0,Compact,117530
premium unleaded (required),6.0,MANUAL,2.0,Compact,126100
premium unleaded (required),6.0,MANUAL,2.0,Compact,101600
premium unleaded (required),6.0,MANUAL,2.0,Compact,116200
premium unleaded (required),6.0,MANUAL,2.0,Compact,102930
premium unleaded (required),6.0,MANUAL,2.0,Compact,120900
premium unleaded (required),6.0,MANUAL,2.0,Compact,105630
premium unleaded (required),6.0,MANUAL,2.0,Compact,126100
premium unleaded (required),6.0,MANUAL,2.0,Compact,91030
premium unleaded (required),6.0,MANUAL,2.0,Compact,98900
premium unleaded (required),6.0,MANUAL,2.0,Compact,132800
premium unleaded (required),6.0,MANUAL,2.0,Compact,84300
premium unleaded (required),6.0,MANUAL,2.0,Compact,104600
premium unleaded (required),6.0,MANUAL,2.0,Compact,102930
premium unleaded (required),6.0,MANUAL,2.0,Compact,132800
premium unleaded (required),6.0,MANUAL,2.0,Compact,114200
premium unleaded (required),6.0,MANUAL,2.0,Compact,88800
premium unleaded (required),6.0,MANUAL,2.0,Compact,96200
premium unleaded (required),6.0,MANUAL,2.0,Compact,117530
premium unleaded (required),6.0,MANUAL,2.0,Compact,94800
premium unleaded (required),6.0,MANUAL,2.0,Compact,110800
premium unleaded (required),6.0,MANUAL,2.0,Compact,117530
premium unleaded (required),6.0,MANUAL,2.0,Compact,98500
premium unleaded (required),6.0,MANUAL,2.0,Compact,108600
premium unleaded (required),6.0,MANUAL,2.0,Compact,115700
premium unleaded (required),6.0,MANUAL,2.0,Compact,110300
premium unleaded (required),6.0,MANUAL,2.0,Compact,122600
premium unleaded (required),6.0,MANUAL,2.0,Compact,103400
premium unleaded (required),6.0,MANUAL,2.0,Compact,96300
premium unleaded (required),6.0,MANUAL,2.0,Compact,101700
premium unleaded (required),6.0,MANUAL,2.0,Compact,108600
premium unleaded (required),6.0,MANUAL,2.0,Compact,122600
premium unleaded (required),6.0,MANUAL,2.0,Compact,89400
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
